course,prof,gpa,% of A,% of B,section_,semester
BICH 409,CARR C,4.000,100%,0%,M99,2020 Fall
BICH 410,MILES B,2.894,32%,45%,501,2020 Fall
BICH 410,MILES B,3.227,41%,41%,502,2020 Fall
BICH 410,MILES B,2.967,39%,29%,503,2020 Fall
BICH 410,MILES B,2.896,34%,38%,504,2020 Fall
BICH 410,MILES B,2.833,33%,30%,505,2020 Fall
BICH 410,MILES B,2.866,33%,33%,506,2020 Fall
BICH 410,MILES B,2.800,24%,40%,507,2020 Fall
BICH 410,MILES B,2.884,31%,38%,508,2020 Fall
BICH 410,HENDERSON POZZI M,2.736,29%,37%,509,2020 Fall
BICH 410,HENDERSON POZZI M,2.950,25%,50%,510,2020 Fall
BICH 410,HENDERSON POZZI M,3.074,52%,22%,511,2020 Fall
BICH 410,HENDERSON POZZI M,3.243,46%,35%,512,2020 Fall
BICH 410,LI P,3.452,55%,36%,513,2020 Fall
BICH 410,LI P,3.285,46%,43%,514,2020 Fall
BICH 410,LI P,3.500,57%,35%,515,2020 Fall
BICH 410,LI P,3.571,74%,20%,516,2020 Fall
BICH 410,HENDERSON POZZI M,2.900,27%,47%,517,2020 Fall
BICH 410,HENDERSON POZZI M,3.000,25%,53%,518,2020 Fall
BICH 410,HENDERSON POZZI M,2.800,23%,47%,519,2020 Fall
BICH 410,HENDERSON POZZI M,3.250,53%,25%,520,2020 Fall
BICH 410,CARR C,3.662,71%,24%,521,2020 Fall
BICH 410,CARR C,3.551,63%,30%,522,2020 Fall
BICH 410,CARR C,3.574,62%,33%,523,2020 Fall
BICH 410,CARR C,3.593,64%,33%,524,2020 Fall
BICH 410,KUROUSKI D,3.361,49%,38%,529,2020 Fall
BICH 410,KUROUSKI D,3.428,52%,40%,530,2020 Fall
BICH 410,KUROUSKI D,3.093,33%,47%,531,2020 Fall
BICH 410,KUROUSKI D,3.390,54%,32%,532,2020 Fall
BICH 411,GOHIL V,2.833,28%,39%,501,2020 Fall
BICH 411,GOHIL V,3.200,46%,31%,502,2020 Fall
BICH 411,GOHIL V,3.111,36%,44%,503,2020 Fall
BICH 411,GOHIL V,3.228,46%,37%,504,2020 Fall
BICH 411,PEREZ S,2.718,19%,44%,505,2020 Fall
BICH 411,PEREZ S,2.714,26%,31%,506,2020 Fall
BICH 411,PEREZ S,2.466,20%,23%,507,2020 Fall
BICH 411,PEREZ S,2.741,16%,48%,508,2020 Fall
BICH 412,AYRES N,3.267,42%,44%,501,2020 Fall
BICH 412,AYRES N,2.958,25%,54%,503,2020 Fall
BICH 412,AYRES N,3.315,53%,26%,504,2020 Fall
BICH 412,AYRES N,3.210,42%,47%,505,2020 Fall
BICH 412,AYRES N,3.250,25%,75%,506,2020 Fall
BICH 419,SZE S,3.620,69%,28%,500,2020 Fall
BICH 431,CRUZ-REYES J,3.820,85%,13%,502,2020 Fall
BICH 432,PEREZ S,3.375,44%,50%,901,2020 Fall
BICH 440,STRAIGHT P,2.878,27%,42%,501,2020 Fall
BICH 440,PELLOIS J,3.027,30%,49%,502,2020 Fall
BICH 441,TOMMOS I,2.571,24%,26%,500,2020 Fall
BICH 456,CRUZ-REYES J,3.235,41%,41%,500,2020 Fall
BICH 491,DEVARENNE T,4.000,100%,0%,500,2020 Fall
BICH 491,YOUNG R,4.000,100%,0%,501,2020 Fall
BICH 491,PANIN V,4.000,100%,0%,517,2020 Fall
BICH 601,CHO J,3.368,37%,63%,600,2020 Fall
BICH 603,RYE H,3.266,33%,60%,600,2020 Fall
BICH 608,YOUNG R,3.500,50%,50%,602,2020 Fall
BICH 631,SHIPPEN D,3.200,27%,67%,600,2020 Fall
BICH 656,ZHANG X,3.222,33%,56%,600,2020 Fall
BICH 671,BANKAITIS V,3.888,89%,11%,600,2020 Fall
BICH 674,RYE H,4.000,100%,0%,600,2020 Fall
BICH 675,DEVARENNE T,4.000,100%,0%,600,2020 Fall
BICH 676,YOUNG R,4.000,100%,0%,600,2020 Fall
BICH 677,SACCHETTINI J,4.000,100%,0%,600,2020 Fall
BICH 689,HERMAN J,4.000,100%,0%,601,2020 Fall
BICH 697,PELLOIS J,4.000,100%,0%,601,2020 Fall
GENE 101,GLASNER M,3.666,67%,33%,501,2020 Fall
GENE 101,DEVARENNE T,3.285,57%,29%,502,2020 Fall
GENE 101,ZHANG J,3.250,62%,12%,503,2020 Fall
GENE 101,IGUMENOVA T,3.428,43%,57%,504,2020 Fall
GENE 101,PARK W,4.000,100%,0%,505,2020 Fall
GENE 301,DIBBLEY REYNOLDS M,3.555,78%,0%,201,2020 Fall
GENE 301,DIBBLEY REYNOLDS M,4.000,100%,0%,202,2020 Fall
GENE 301,DIBBLEY REYNOLDS M,3.160,51%,25%,501,2020 Fall
GENE 301,DIBBLEY REYNOLDS M,3.108,49%,23%,502,2020 Fall
GENE 302,PANIN V,4.000,100%,0%,202,2020 Fall
