course,prof,gpa,% of A,% of B,section_,semester
GEOL 102,KENDERES E,3.333,58%,29%,505,2020 Fall
GEOL 102,KENDERES E,3.222,44%,44%,506,2020 Fall
GEOL 102,KENDERES E,3.391,65%,17%,507,2020 Fall
GEOL 102,KENDERES E,3.333,42%,50%,508,2020 Fall
GEOL 102,KENDERES E,3.388,50%,39%,509,2020 Fall
GEOL 102,KENDERES E,3.391,52%,35%,510,2020 Fall
GEOL 102,KENDERES E,3.428,48%,48%,513,2020 Fall
GEOL 104,SUN Y,3.545,64%,27%,501,2020 Fall
GEOL 104,SUN Y,3.555,67%,22%,502,2020 Fall
GEOL 104,SUN Y,3.480,60%,28%,503,2020 Fall
GEOL 104,SUN Y,3.363,45%,45%,505,2020 Fall
GEOL 150,MARCANTONIO F,3.384,69%,15%,501,2020 Fall
GEOL 150,MARCANTONIO F,3.666,73%,20%,502,2020 Fall
GEOL 180,ROSSER C,3.818,95%,0%,501,2020 Fall
GEOL 180,ROSSER C,3.880,92%,4%,502,2020 Fall
GEOL 203,KRONENBERG A,2.363,23%,18%,501,2020 Fall
GEOL 203,KRONENBERG A,2.478,30%,13%,502,2020 Fall
GEOL 203,KRONENBERG A,2.450,10%,35%,503,2020 Fall
GEOL 207,RAYMOND A,3.666,89%,0%,500,2020 Fall
GEOL 207,RAYMOND A,3.777,94%,0%,501,2020 Fall
GEOL 207,RAYMOND A,3.944,94%,6%,502,2020 Fall
GEOL 207,RAYMOND A,3.928,93%,7%,503,2020 Fall
GEOL 207,RAYMOND A,4.000,100%,0%,504,2020 Fall
GEOL 207,RAYMOND A,3.944,94%,6%,505,2020 Fall
GEOL 210,KITAJIMA H,3.357,68%,14%,900,2020 Fall
GEOL 210,YANCEY T,3.766,87%,10%,901,2020 Fall
GEOL 250,POPE M,2.800,20%,47%,501,2020 Fall
GEOL 306,REECE J,3.428,50%,43%,501,2020 Fall
GEOL 306,REECE J,2.875,19%,62%,503,2020 Fall
GEOL 310,EWING R,3.166,28%,61%,501,2020 Fall
GEOL 312,CHESTER J,2.545,18%,41%,502,2020 Fall
GEOL 320,GIARDINO J,4.000,100%,0%,502,2020 Fall
GEOL 330,POPE M,3.692,92%,0%,509,2020 Fall
GEOL 404,LAYA PEREIRA J,2.750,25%,45%,501,2020 Fall
GEOL 404,LAYA PEREIRA J,2.904,29%,48%,503,2020 Fall
GEOL 404,LAYA PEREIRA J,3.300,45%,45%,505,2020 Fall
GEOL 404,LAYA PEREIRA J,3.157,21%,74%,506,2020 Fall
GEOL 410,ZHAN H,2.838,29%,45%,501,2020 Fall
GEOL 420,KNAPPETT P,3.733,73%,27%,901,2020 Fall
GEOL 450,CHESTER F,3.700,70%,30%,903,2020 Fall
GEOL 450,GROSSMAN E,3.111,22%,67%,908,2020 Fall
GEOL 450,MILLER B,3.222,44%,39%,913,2020 Fall
GEOL 450,EVERETT M,3.500,50%,50%,925,2020 Fall
GEOL 617,RIGGS E,4.000,100%,0%,775,2020 Fall
GEOL 617,RIGGS E,4.000,100%,0%,776,2020 Fall
GEOL 619,GRIFFITH C,3.642,64%,36%,776,2020 Fall
GEOL 622,DONOVAN A,4.000,100%,0%,600,2020 Fall
GEOL 625,ZHAN H,4.000,100%,0%,600,2020 Fall
GEOL 640,MARCANTONIO F,3.923,92%,8%,600,2020 Fall
GEOL 650,BELANGER C,4.000,100%,0%,600,2020 Fall
GEOL 670,BAPST D,3.888,89%,11%,600,2020 Fall
GEOP 341,DUAN B,2.800,20%,55%,502,2020 Fall
GEOP 341,DUAN B,2.500,28%,22%,505,2020 Fall
GEOP 361,REECE R,3.615,69%,23%,501,2020 Fall
GEOP 413,EVERETT M,3.750,88%,0%,500,2020 Fall
GEOP 421,DUAN B,3.200,30%,60%,501,2020 Fall
GEOP 489,SPARKS D,2.733,63%,7%,700,2020 Fall
GEOP 628,PEREZ N,4.000,100%,0%,600,2020 Fall
OCNG 203,YVON-LEWIS S,3.416,75%,8%,901,2020 Fall
OCNG 251,SHAMBERGER K,2.855,24%,46%,501,2020 Fall
OCNG 251,ZHANG Y,3.628,74%,20%,504,2020 Fall
OCNG 251,GARDNER W,3.282,51%,28%,506,2020 Fall
OCNG 251,RICHARDSON M,3.253,43%,43%,508,2020 Fall
OCNG 251,GARDNER W,3.415,66%,17%,510,2020 Fall
OCNG 251,WIEDERWOHL C,3.375,62%,12%,512,2020 Fall
OCNG 251,FIORENDINO J,3.010,30%,48%,598,2020 Fall
OCNG 251,SHAMBERGER K,2.111,0%,33%,G01,2020 Fall
OCNG 251,ZHANG Y,3.888,89%,11%,G04,2020 Fall
OCNG 251,GARDNER W,3.142,14%,86%,G06,2020 Fall
OCNG 251,RICHARDSON M,2.666,0%,67%,G08,2020 Fall
OCNG 251,GARDNER W,2.800,20%,40%,G10,2020 Fall
OCNG 252,WIEDERWOHL C,3.009,39%,36%,598,2020 Fall
OCNG 252,WIEDERWOHL C,3.178,46%,29%,599,2020 Fall
OCNG 350,YVON-LEWIS S,3.070,37%,41%,500,2020 Fall
OCNG 404,DIMARCO S,3.695,74%,22%,500,2020 Fall
OCNG 410,ORSI A,2.803,35%,22%,500,2020 Fall
OCNG 425,THORNTON D,3.315,47%,37%,500,2020 Fall
OCNG 453,FITZSIMMONS J,3.444,44%,56%,500,2020 Fall
OCNG 456,WIEDERWOHL C,2.800,40%,20%,500,2020 Fall
OCNG 481,RICHARDSON M,4.000,100%,0%,900,2020 Fall
OCNG 604,DIMARCO S,4.000,100%,0%,600,2020 Fall
OCNG 608,STOESSEL A,3.125,50%,12%,600,2020 Fall
OCNG 640,FITZSIMMONS J,3.833,83%,17%,600,2020 Fall
OCNG 651,CHANG P,3.875,88%,12%,600,2020 Fall
OCNG 655,POTTER H,3.000,14%,71%,600,2020 Fall
OCNG 656,WIEDERWOHL C,3.600,60%,40%,600,2020 Fall
OCNG 689,HETLAND R,4.000,100%,0%,600,2020 Fall
