course,prof,gpa,% of A,% of B,section_,semester
COSC 326,BRYANT J,2.788,13%,54%,500,2019 Spring
COSC 333,MARRARO A,1.897,0%,10%,500,2019 Spring
COSC 353,ESCAMILLA E,3.030,15%,73%,501,2019 Spring
COSC 353,CRONIN H,2.870,3%,81%,502,2019 Spring
COSC 353,CRONIN H,2.960,4%,88%,503,2019 Spring
COSC 353,ESCAMILLA E,3.161,16%,84%,504,2019 Spring
COSC 364,MCGOWAN A,3.548,68%,26%,501,2019 Spring
COSC 364,MCGOWAN A,3.950,95%,5%,504,2019 Spring
COSC 364,MCGOWAN A,3.258,42%,42%,506,2019 Spring
COSC 364,MCGOWAN A,3.727,73%,27%,507,2019 Spring
COSC 375,BOLDT G,2.764,6%,68%,501,2019 Spring
COSC 375,BOLDT G,3.025,21%,67%,502,2019 Spring
COSC 375,BOLDT G,3.421,42%,58%,503,2019 Spring
COSC 375,BOLDT G,3.100,10%,90%,504,2019 Spring
COSC 381,GUERRA SANTOS H,3.794,82%,15%,500,2019 Spring
COSC 410,FICKEL L,3.871,92%,5%,500,2019 Spring
COSC 411,FICKEL L,3.922,96%,1%,500,2019 Spring
COSC 421,DUDLEY D,3.226,34%,56%,501,2019 Spring
COSC 440,HOUSTON J,2.954,18%,59%,930,2019 Spring
COSC 441,BIRDWELL R,3.416,46%,50%,930,2019 Spring
COSC 442,FERNANDEZ-SOLIS J,3.666,67%,33%,931,2019 Spring
COSC 442,FERNANDEZ-SOLIS J,4.000,100%,0%,932,2019 Spring
COSC 442,FERNANDEZ-SOLIS J,3.833,83%,17%,933,2019 Spring
COSC 443,WHITMAN J,4.000,100%,0%,930,2019 Spring
COSC 446,BRYANT J,4.000,100%,0%,930,2019 Spring
COSC 450,LAVY S,2.413,17%,24%,500,2019 Spring
COSC 461,KANG H,2.826,4%,74%,500,2019 Spring
COSC 461,KANG H,3.111,26%,59%,502,2019 Spring
COSC 461,KANG H,3.111,26%,59%,504,2019 Spring
COSC 463,GRISHAM R,3.560,60%,36%,901,2019 Spring
COSC 463,DAIGNEAULT M,2.705,12%,47%,902,2019 Spring
COSC 463,GRISHAM R,2.958,29%,46%,903,2019 Spring
COSC 463,ELLIS D,2.791,4%,71%,904,2019 Spring
COSC 463,DAIGNEAULT M,2.789,5%,68%,905,2019 Spring
COSC 463,DAIGNEAULT M,2.500,6%,44%,906,2019 Spring
COSC 463,ELLIS D,2.384,8%,38%,907,2019 Spring
COSC 463,GRISHAM R,3.280,36%,56%,908,2019 Spring
COSC 464,MCGOWAN A,3.527,58%,36%,500,2019 Spring
COSC 465,ELLIS D,2.692,9%,52%,500,2019 Spring
COSC 475,FICKEL L,2.300,0%,35%,501,2019 Spring
COSC 475,FICKEL L,2.525,8%,48%,502,2019 Spring
COSC 475,BOLDT G,2.772,9%,64%,503,2019 Spring
COSC 475,BOLDT G,2.809,10%,67%,504,2019 Spring
COSC 477,FICKEL L,2.794,15%,51%,500,2019 Spring
COSC 477,FICKEL L,2.684,10%,49%,501,2019 Spring
COSC 489,BOLDT G,4.000,100%,0%,500,2019 Spring
COSC 494,GUERRA SANTOS H,3.734,78%,18%,950,2019 Spring
COSC 606,BRYANT J,3.600,60%,40%,600,2019 Spring
COSC 608,LEWIS P,3.875,88%,12%,600,2019 Spring
COSC 631,RYBKOWSKI Z,3.888,89%,11%,600,2019 Spring
COSC 650,HAM Y,3.833,83%,17%,600,2019 Spring
COSC 670,LAVY S,3.222,22%,78%,600,2019 Spring
COSC 689,AHN C,4.000,100%,0%,600,2019 Spring
LAND 101,LI D,3.038,54%,23%,500,2019 Spring
LAND 112,REID R,3.461,46%,54%,501,2019 Spring
LAND 112,REN D,3.461,46%,54%,502,2019 Spring
LAND 212,REID R,3.416,42%,58%,501,2019 Spring
LAND 212,HUANG C,3.727,73%,27%,502,2019 Spring
LAND 232,BARDENHAGEN E,3.000,8%,83%,501,2019 Spring
LAND 232,HURST K,3.636,73%,18%,502,2019 Spring
LAND 240,LEE R,3.825,82%,18%,500,2019 Spring
LAND 240,NEWMAN G,3.714,79%,14%,700,2019 Spring
LAND 312,HURST K,3.400,47%,47%,501,2019 Spring
LAND 312,LEE R,3.533,60%,33%,512,2019 Spring
LAND 331,WINSLOW W,2.875,6%,75%,501,2019 Spring
LAND 331,WINSLOW W,2.812,6%,75%,502,2019 Spring
LAND 412,LEE C,3.750,75%,25%,501,2019 Spring
LAND 412,LEE C,3.666,67%,33%,502,2019 Spring
LAND 431,WINSLOW J,3.354,35%,65%,900,2019 Spring
LAND 489,REID R,4.000,100%,0%,500,2019 Spring
LAND 602,NEWMAN G,3.400,40%,60%,600,2019 Spring
LAND 614,DVORAK B,3.222,33%,56%,600,2019 Spring
LAND 621,RODIEK J,3.000,21%,57%,600,2019 Spring
LAND 640,ROGERS G,3.454,45%,55%,600,2019 Spring
