course,prof,gpa,% of A,% of B,section_,semester
COSC 254,FICKEL L,2.114,4%,30%,501,2018 Fall
COSC 254,NICHOLS J,3.118,22%,68%,502,2018 Fall
COSC 275,PALMER R,3.538,62%,31%,502,2018 Fall
COSC 275,PALMER R,3.820,85%,13%,503,2018 Fall
COSC 275,EUSTACE G,2.833,23%,43%,505,2018 Fall
COSC 275,EUSTACE G,2.714,18%,43%,506,2018 Fall
COSC 301,WILLIAMSON K,2.409,5%,36%,502,2018 Fall
COSC 301,WILLIAMSON K,3.120,28%,56%,503,2018 Fall
COSC 301,WILLIAMSON K,2.533,0%,67%,504,2018 Fall
COSC 301,WILLIAMSON K,2.625,4%,54%,505,2018 Fall
COSC 301,WILLIAMSON K,2.956,22%,52%,506,2018 Fall
COSC 310,BOLDT G,3.890,92%,7%,500,2018 Fall
COSC 321,JUNG I,2.847,26%,35%,501,2018 Fall
COSC 321,LEWIS P,3.189,36%,48%,502,2018 Fall
COSC 325,HOUSTON J,2.892,20%,54%,501,2018 Fall
COSC 325,HOUSTON J,2.939,16%,64%,502,2018 Fall
COSC 326,BRYANT J,2.731,7%,59%,500,2018 Fall
COSC 326,BRYANT J,2.960,14%,69%,501,2018 Fall
COSC 333,MARRARO A,2.000,0%,13%,500,2018 Fall
COSC 353,ESCAMILLA E,3.031,12%,78%,501,2018 Fall
COSC 353,CRONIN H,2.774,6%,68%,502,2018 Fall
COSC 353,CRONIN H,2.937,9%,75%,503,2018 Fall
COSC 353,ESCAMILLA E,2.869,13%,61%,504,2018 Fall
COSC 353,ESCAMILLA E,3.034,10%,83%,505,2018 Fall
COSC 353,MARRARO A,2.444,0%,44%,506,2018 Fall
COSC 364,MCGOWAN A,3.787,79%,21%,501,2018 Fall
COSC 364,MCGOWAN A,3.885,89%,11%,502,2018 Fall
COSC 364,MCGOWAN A,3.676,68%,32%,504,2018 Fall
COSC 364,MCGOWAN A,3.676,68%,32%,505,2018 Fall
COSC 364,MCGOWAN A,3.791,79%,21%,506,2018 Fall
COSC 375,JORDAN M,3.166,31%,55%,501,2018 Fall
COSC 375,JORDAN M,3.023,21%,60%,502,2018 Fall
COSC 375,JORDAN M,2.975,12%,72%,503,2018 Fall
COSC 375,JORDAN M,2.972,16%,68%,504,2018 Fall
COSC 381,GUERRA SANTOS H,3.933,93%,7%,500,2018 Fall
COSC 410,FICKEL L,3.183,60%,8%,500,2018 Fall
COSC 411,FICKEL L,3.380,60%,22%,500,2018 Fall
COSC 421,HAQUE M,2.557,20%,34%,501,2018 Fall
COSC 421,RYOO B,3.576,67%,24%,502,2018 Fall
COSC 440,FERNANDEZ-SOLIS J,3.333,40%,53%,930,2018 Fall
COSC 441,BIRDWELL R,3.285,29%,71%,930,2018 Fall
COSC 442,FERNANDEZ-SOLIS J,3.500,58%,33%,931,2018 Fall
COSC 442,FERNANDEZ-SOLIS J,2.954,18%,59%,932,2018 Fall
COSC 446,BRYANT J,4.000,100%,0%,930,2018 Fall
COSC 450,ESCAMILLA E,3.421,58%,26%,500,2018 Fall
COSC 459,WHITMAN J,3.272,27%,73%,500,2018 Fall
COSC 461,DU J,4.000,100%,0%,500,2018 Fall
COSC 461,KANG H,3.055,33%,39%,501,2018 Fall
COSC 463,GRISHAM R,3.636,68%,27%,901,2018 Fall
COSC 463,GRISHAM R,3.600,64%,32%,902,2018 Fall
COSC 463,DAIGNEAULT M,2.960,12%,72%,903,2018 Fall
COSC 463,DAIGNEAULT M,2.708,4%,62%,904,2018 Fall
COSC 463,DAIGNEAULT M,3.000,16%,68%,905,2018 Fall
COSC 463,ELLIS D,3.080,12%,84%,906,2018 Fall
COSC 463,ELLIS D,3.000,6%,88%,907,2018 Fall
COSC 463,GRISHAM R,3.320,36%,60%,908,2018 Fall
COSC 464,MCGOWAN A,3.823,82%,18%,500,2018 Fall
COSC 465,ELLIS D,2.819,14%,53%,500,2018 Fall
COSC 465,RODGERS W,3.050,15%,75%,501,2018 Fall
COSC 474,LAVY S,3.833,83%,17%,500,2018 Fall
COSC 475,BOLDT G,3.116,26%,60%,501,2018 Fall
COSC 475,BOLDT G,2.948,13%,69%,502,2018 Fall
COSC 475,BOLDT G,3.025,12%,80%,503,2018 Fall
