course,prof,gpa,% of A,% of B,section_,semester
CHEN 481,KHOSRAVIANGHADIKOLA,4.000,100%,0%,504,2017 Spring
CHEN 481,GLOVER C,4.000,100%,0%,505,2017 Spring
CHEN 481,HOLTZAPPLE M,3.708,71%,29%,506,2017 Spring
CHEN 624,WILHITE B,3.418,56%,30%,600,2017 Spring
CHEN 629,ELABD Y,3.491,65%,25%,600,2017 Spring
CHEN 631,KRAVARIS C,4.000,100%,0%,600,2017 Spring
CHEN 660,ROGERS W,4.000,100%,0%,600,2017 Spring
CHEN 675,KUO Y,3.461,62%,31%,600,2017 Spring
CHEN 689,JEONG H,3.875,88%,12%,600,2017 Spring
CHEN 689,BALBUENA P,4.000,100%,0%,601,2017 Spring
SENG 312,QUDDUS N,3.708,77%,18%,500,2017 Spring
SENG 422,MOATS J,3.954,95%,5%,500,2017 Spring
SENG 455,KOIRALA Y,3.500,58%,33%,500,2017 Spring
SENG 460,ROGERS W,3.090,18%,73%,500,2017 Spring
SENG 660,ROGERS W,3.700,80%,10%,600,2017 Spring
SENG 674,QUDDUS N,3.800,80%,20%,600,2017 Spring
SENG 677,MOATS J,3.750,75%,25%,600,2017 Spring
CVEN 207,APPLETON R,3.795,82%,16%,501,2017 Spring
CVEN 221,BRACKIN M,3.190,32%,55%,501,2017 Spring
CVEN 250,HUTCHINSON R,3.538,54%,46%,501,2017 Spring
CVEN 250,HUTCHINSON R,3.526,58%,37%,502,2017 Spring
CVEN 250,OTEY J,3.769,77%,23%,503,2017 Spring
CVEN 250,OTEY J,3.921,92%,8%,504,2017 Spring
CVEN 301,LONDON M,2.875,26%,36%,501,2017 Spring
CVEN 301,MA X,3.176,38%,41%,502,2017 Spring
CVEN 302,KIM H,3.063,34%,40%,501,2017 Spring
CVEN 302,ARDANI S,3.028,29%,49%,502,2017 Spring
CVEN 302,CHANG K,2.702,23%,32%,503,2017 Spring
CVEN 303,GHARAIBEH N,3.312,44%,44%,501,2017 Spring
CVEN 303,GHARAIBEH N,3.277,56%,28%,502,2017 Spring
CVEN 303,GHARAIBEH N,3.222,33%,56%,503,2017 Spring
CVEN 303,GHARAIBEH N,3.153,31%,54%,504,2017 Spring
CVEN 303,CHINN T,3.450,45%,55%,505,2017 Spring
CVEN 303,CHINN T,3.473,58%,32%,506,2017 Spring
CVEN 303,CHINN T,3.526,58%,37%,507,2017 Spring
CVEN 303,CHINN T,2.750,19%,38%,508,2017 Spring
CVEN 305,LOWERY L,3.182,40%,39%,501,2017 Spring
CVEN 305,LOWERY L,2.637,19%,39%,502,2017 Spring
CVEN 305,YURTTAS Y,3.301,43%,47%,503,2017 Spring
CVEN 305,GOENEZEN S,2.564,12%,48%,504,2017 Spring
CVEN 305,COPE D,3.261,47%,36%,505,2017 Spring
CVEN 305,PARK P,3.241,43%,39%,506,2017 Spring
CVEN 305,KHODABAKHSHI P,2.725,18%,52%,507,2017 Spring
CVEN 305,PARK P,3.384,58%,26%,508,2017 Spring
CVEN 306,LITTLE D,3.111,24%,64%,501,2017 Spring
CVEN 306,LITTLE D,2.929,21%,52%,502,2017 Spring
CVEN 307,HAWKINS G,3.129,39%,39%,501,2017 Spring
CVEN 307,WANG X,3.100,30%,54%,502,2017 Spring
CVEN 311,SOCOLOFSKY S,3.161,31%,54%,501,2017 Spring
CVEN 311,MILLER G,3.088,35%,41%,502,2017 Spring
CVEN 315,HURLEBAUS S,3.600,67%,27%,500,2017 Spring
CVEN 322,WANG X,3.039,35%,45%,500,2017 Spring
CVEN 322,SHIRAZI M,3.320,52%,32%,501,2017 Spring
CVEN 339,KANTA L,2.886,30%,33%,501,2017 Spring
CVEN 342,MARTIN A,3.400,45%,50%,501,2017 Spring
CVEN 342,MARTIN A,3.700,70%,30%,502,2017 Spring
CVEN 342,MARTIN A,3.600,60%,40%,503,2017 Spring
CVEN 342,ZOLLINGER D,3.473,53%,42%,504,2017 Spring
CVEN 342,ZOLLINGER D,3.866,87%,13%,505,2017 Spring
CVEN 342,ZOLLINGER D,3.300,35%,60%,506,2017 Spring
CVEN 345,PAAL S,3.000,33%,40%,501,2017 Spring
CVEN 345,BIRELY A,2.800,23%,40%,502,2017 Spring
CVEN 349,WALEWSKI J,3.247,41%,44%,501,2017 Spring
CVEN 363,NOSHADRAVAN A,3.088,22%,65%,501,2017 Spring
CVEN 363,KAFIE MARTINEZ J,3.205,38%,46%,502,2017 Spring
CVEN 365,BRIAUD J,3.611,78%,11%,501,2017 Spring
CVEN 365,BRIAUD J,3.857,86%,14%,502,2017 Spring
CVEN 365,BRIAUD J,3.529,65%,24%,503,2017 Spring
CVEN 365,MEDINA CETINA Z,3.666,67%,33%,504,2017 Spring
CVEN 365,MEDINA CETINA Z,3.684,84%,11%,505,2017 Spring
CVEN 365,MEDINA CETINA Z,3.700,70%,30%,506,2017 Spring
CVEN 365,MEDINA CETINA Z,3.611,67%,28%,507,2017 Spring
CVEN 400,PITTMAN L,3.480,50%,48%,501,2017 Spring
CVEN 400,ROGERS A,3.456,48%,50%,502,2017 Spring
CVEN 413,YING Q,3.000,23%,55%,500,2017 Spring
CVEN 418,ZOLLINGER D,3.428,43%,57%,500,2017 Spring
CVEN 423,OLIVERA F,3.571,64%,29%,500,2017 Spring
CVEN 424,ENGLAND P,3.818,82%,18%,901,2017 Spring
CVEN 424,ENGLAND P,3.555,56%,44%,902,2017 Spring
CVEN 424,ENGLAND P,3.913,91%,9%,903,2017 Spring
CVEN 424,SCARFUTO J,3.818,82%,18%,904,2017 Spring
CVEN 424,SCARFUTO J,3.722,72%,28%,905,2017 Spring
CVEN 444,BRACCI J,2.843,25%,41%,501,2017 Spring
CVEN 444,TERZIOGLU T,2.710,13%,53%,502,2017 Spring
CVEN 445,JONES H,3.250,50%,29%,500,2017 Spring
CVEN 446,HUESTE M,3.156,38%,41%,501,2017 Spring
CVEN 446,LOWERY L,3.200,34%,51%,502,2017 Spring
CVEN 446,BRACKIN M,3.210,34%,55%,503,2017 Spring
CVEN 450,HUTCHINSON R,4.000,100%,0%,500,2017 Spring
CVEN 455,OLIVERA F,3.290,55%,23%,500,2017 Spring
CVEN 456,LORD D,3.647,65%,35%,500,2017 Spring
CVEN 458,BRUMBELOW J,3.170,32%,54%,500,2017 Spring
CVEN 473,WOLF C,3.611,61%,39%,500,2017 Spring
CVEN 483,BRACCI J,4.000,100%,0%,500,2017 Spring
CVEN 489,OTEY J,4.000,100%,0%,500,2017 Spring
CVEN 601,CHU K,3.434,48%,48%,600,2017 Spring
CVEN 602,GAO H,3.647,82%,12%,600,2017 Spring
CVEN 604,CHELLAM S,3.444,44%,56%,600,2017 Spring
CVEN 612,ZOLLINGER D,3.777,78%,22%,600,2017 Spring
CVEN 613,LYTTON R,4.000,100%,0%,600,2017 Spring
CVEN 615,SAKHAEI FAR M,3.823,82%,18%,600,2017 Spring
CVEN 618,ZHANG Y,3.750,75%,25%,600,2017 Spring
CVEN 621,BIRELY A,3.750,75%,25%,600,2017 Spring
CVEN 627,GAO H,3.750,75%,25%,600,2017 Spring
CVEN 639,WALEWSKI J,4.000,100%,0%,600,2017 Spring
CVEN 641,MOSTAFAVI A,4.000,100%,0%,600,2017 Spring
CVEN 642,MOHTAR R,4.000,100%,0%,600,2017 Spring
CVEN 644,DAMNJANOVIC I,3.888,89%,11%,600,2017 Spring
CVEN 645,BRIAUD J,3.300,40%,50%,600,2017 Spring
CVEN 646,LYTTON R,3.833,96%,0%,600,2017 Spring
CVEN 652,CHA M,4.000,100%,0%,600,2017 Spring
CVEN 655,MEDINA CETINA Z,4.000,100%,0%,600,2017 Spring
CVEN 658,OLIVERA F,3.526,68%,16%,600,2017 Spring
CVEN 659,KEATING P,3.187,19%,81%,600,2017 Spring
CVEN 662,HURLEBAUS S,4.000,100%,0%,600,2017 Spring
CVEN 665,WURBS R,3.636,64%,36%,600,2017 Spring
CVEN 667,AUBENY C,3.888,89%,11%,600,2017 Spring
CVEN 674,MILLER G,3.636,64%,36%,600,2017 Spring
CVEN 680,CHEN H,3.692,69%,31%,600,2017 Spring
CVEN 686,NIEDZWECKI J,3.571,57%,43%,600,2017 Spring
CVEN 687,AUBENY C,3.724,72%,28%,600,2017 Spring
CVEN 689,OTEY J,4.000,100%,0%,600,2017 Spring
CVEN 689,TALEBPOUR A,3.866,87%,13%,601,2017 Spring
CVEN 710,DAMNJANOVIC I,3.842,84%,16%,600,2017 Spring
CVEN 717,FORD D,3.444,50%,44%,600,2017 Spring
CVEN 750,BARROSO L,3.923,92%,8%,600,2017 Spring
CVEN 751,BARROSO L,4.000,100%,0%,600,2017 Spring
CVEN 754,MANDER J,4.000,100%,0%,600,2017 Spring
CVEN 765,QUADRIFOGLIO L,3.866,87%,13%,600,2017 Spring
CVEN 766,LORD D,3.700,70%,30%,600,2017 Spring
ENDG 105,WHITEACRE M,2.523,33%,29%,501,2017 Spring
ENDG 105,WHITEACRE M,2.850,35%,30%,502,2017 Spring
ENDG 105,WHITEACRE M,2.960,40%,28%,503,2017 Spring
ENDG 407,WHITEACRE M,3.476,57%,33%,501,2017 Spring
ENGR 111,OZMETIN A,3.058,34%,47%,501,2017 Spring
ENGR 111,ELMS R,3.296,47%,38%,502,2017 Spring
ENGR 111,ELMS R,3.021,42%,29%,503,2017 Spring
ENGR 111,OZMETIN A,3.137,49%,36%,507,2017 Spring
ENGR 111,SHAW S,2.411,22%,29%,510,2017 Spring
ENGR 112,GRAVES G,3.571,61%,36%,201,2017 Spring
ENGR 112,STAACK D,3.500,52%,46%,202,2017 Spring
ENGR 112,GODWIN A,3.803,86%,9%,203,2017 Spring
ENGR 112,RITCHEY P,3.586,72%,17%,204,2017 Spring
ENGR 112,RITCHEY P,3.425,57%,28%,205,2017 Spring
ENGR 112,NEPAL B,3.600,70%,23%,206,2017 Spring
ENGR 112,POWELL M,3.550,57%,40%,207,2017 Spring
ENGR 112,FULLERTON T,3.378,49%,41%,208,2017 Spring
ENGR 112,CAHILL A,3.470,49%,49%,209,2017 Spring
ENGR 112,MILLER S,3.458,50%,46%,210,2017 Spring
ENGR 112,GRASLEY Z,3.479,60%,29%,211,2017 Spring
ENGR 112,VADDIRAJU S,3.500,50%,50%,212,2017 Spring
ENGR 112,KURWITZ R,3.037,37%,37%,501,2017 Spring
ENGR 112,LARA RUIZ J,2.984,29%,41%,502,2017 Spring
ENGR 112,RICHARD J,2.857,20%,46%,503,2017 Spring
ENGR 112,KITCHER E,2.960,29%,39%,504,2017 Spring
ENGR 112,KURWITZ R,3.075,33%,41%,505,2017 Spring
ENGR 112,IJAZ M,3.074,31%,46%,506,2017 Spring
