course,prof,gpa,% of A,% of B,section_,semester
SPED 312,BYRNS G,3.692,69%,31%,500,2019 Fall
SPED 314,BILLINGS ASHCRAFT S,4.000,100%,0%,500,2019 Fall
SPED 414,GILSON C,3.722,72%,28%,500,2019 Fall
SPED 442,PERROTT L,3.944,94%,6%,500,2019 Fall
SPED 471,WHITESIDE E,3.807,81%,19%,500,2019 Fall
SPED 618,GANZ J,4.000,100%,0%,600,2019 Fall
SPED 620,PERROTT L,3.903,90%,10%,700,2019 Fall
SPED 630,ERBELI F,3.968,97%,3%,700,2019 Fall
SPED 632,MONTAGUE M,3.812,81%,19%,700,2019 Fall
SPSY 611,CASTRO OLIVO S,4.000,100%,0%,600,2019 Fall
SPSY 612,RICCIO C,4.000,100%,0%,600,2019 Fall
SPSY 617,COOK K,3.666,67%,33%,600,2019 Fall
SPSY 638,CASTRO OLIVO S,4.000,100%,0%,600,2019 Fall
SPSY 643,NEWELL K,3.625,62%,38%,600,2019 Fall
ATTR 201,GREENWOOD L,3.733,80%,13%,500,2019 Fall
ATTR 301,GREENWOOD L,3.785,79%,21%,500,2019 Fall
ATTR 652,GREENWOOD L,4.000,100%,0%,600,2019 Fall
ATTR 655,BOUCHER A,4.000,100%,0%,600,2019 Fall
ATTR 662,BOUCHER A,3.200,40%,40%,600,2019 Fall
ATTR 663,BOUCHER A,3.733,80%,13%,600,2019 Fall
ATTR 666,BOUCHER A,3.111,33%,44%,600,2019 Fall
ATTR 667,BOUCHER A,3.777,78%,22%,600,2019 Fall
ATTR 668,GREENWOOD L,3.533,53%,47%,600,2019 Fall
ATTR 669,GREENWOOD L,3.800,80%,20%,600,2019 Fall
ATTR 670,GREENWOOD L,3.111,11%,89%,600,2019 Fall
ATTR 673,GREENWOOD L,3.222,33%,56%,600,2019 Fall
DCED 202,BERGERON C,3.883,90%,8%,594,2019 Fall
DCED 202,ALVAREZ A,3.614,70%,23%,595,2019 Fall
DCED 202,POOLEY-DETWILER A,3.950,97%,2%,596,2019 Fall
DCED 202,ARMSTRONG C,3.896,90%,10%,597,2019 Fall
DCED 202,BERGERON C,3.916,97%,2%,598,2019 Fall
DCED 203,ARMSTRONG C,3.894,89%,11%,500,2019 Fall
DCED 222,BERGERON C,3.583,67%,25%,500,2019 Fall
DCED 260,BEDFORD D,3.692,85%,0%,500,2019 Fall
DCED 271,ARMSTRONG C,4.000,100%,0%,500,2019 Fall
DCED 303,ARMSTRONG C,3.833,83%,17%,599,2019 Fall
DCED 306,BEDFORD D,3.866,93%,0%,500,2019 Fall
DCED 306,POOLEY-DETWILER A,4.000,100%,0%,501,2019 Fall
DCED 308,BERGERON C,3.933,93%,7%,900,2019 Fall
DCED 361,BEDFORD D,4.000,100%,0%,500,2019 Fall
DCED 372,BEDFORD D,4.000,100%,0%,500,2019 Fall
DCED 401,POOLEY-DETWILER A,3.818,91%,0%,900,2019 Fall
DCED 402,BERGERON C,4.000,100%,0%,500,2019 Fall
DCED 462,ALVAREZ A,4.000,100%,0%,500,2019 Fall
DCED 473,ARMSTRONG C,4.000,100%,0%,500,2019 Fall
HEFB 324,LIU J,4.000,100%,0%,501,2019 Fall
HEFB 325,SHIPLEY M,4.000,100%,0%,901,2019 Fall
HEFB 450,MCNEILL E,3.916,92%,8%,554,2019 Fall
HLTH 210,HARVEY I,3.685,81%,10%,501,2019 Fall
HLTH 210,FEHR S,3.272,44%,40%,502,2019 Fall
