KINE 199,BREKKEN K,3.8,92%,4%,3,2017 Spring
KINE 199,SAFDARI S,4,100%,0%,3,2018 Spring
KINE 199,WAITE L,4,100%,0%,3,2020 Spring
KINE 199,SZURA J,3.8,80%,20%,3,2020 Summer
KINE 223,SZURA J,3.482,66%,24%,3,2019 Fall
KINE 223,SCHRADER K,3.35,55%,25%,3,2020 Spring
KINE 223,POOLEY-DETWILER A,3.789,79%,21%,3,2017 Summer
KINE 223,WAITE L,3.85,85%,15%,3,2018 Summer
KINE 120,DIXON S,3.038,27%,62%,4,2017 Fall
KINE 120,WOODARD D,3.269,52%,30%,4,2020 Fall
KINE 120,SHOWMAN B,3.821,82%,18%,4,2017 Spring
KINE 120,WENZEL T,3.12,48%,32%,4,2018 Spring
KINE 223,COHEN L,3.379,48%,41%,4,2017 Fall
KINE 223,COHEN L,3.266,60%,27%,4,2018 Fall
KINE 223,LOCKLEAR A,3.575,71%,18%,4,2020 Fall
KINE 223,COHEN L,3.966,97%,3%,4,2018 Spring
KINE 223,ISENHART M,3.4,53%,33%,4,2017 Summer
KINE 223,SAFDARI S,3.375,50%,38%,4,2018 Summer
KINE 223,BREKKEN K,3.312,56%,25%,4,2019 Summer
KINE 282,SCHRADER K,3.6,65%,30%,4,2020 Fall
KINE 120,ISENHART M,3.68,72%,24%,5,2017 Spring
KINE 120,VENABLE L,3.583,79%,8%,5,2018 Spring
KINE 120,O'REILLY C,3.777,81%,15%,5,2017 Summer
KINE 223,SZURA J,3.25,58%,17%,5,2020 Fall
KINE 223,COHEN L,3.451,61%,26%,5,2017 Spring
KINE 223,COHEN L,3.733,73%,27%,5,2018 Spring
KINE 120,DANNENBAUM J,3.222,61%,22%,6,2020 Fall
KINE 120,METZGER C,3.8,88%,8%,6,2017 Summer
KINE 199,THORNTON M,4,100%,0%,6,2017 Spring
KINE 223,ISENHART M,2.85,32%,47%,6,2017 Spring
KINE 223,ISENHART M,2.933,50%,36%,6,2018 Spring
KINE 223,SLAGEL K,3,52%,13%,6,2020 Spring
KINE 223,DIXON S,3.434,70%,13%,6,2017 Summer
KINE 223,DIXON S,3.666,67%,33%,6,2019 Summer
KINE 282,LOCKLEAR A,3.565,61%,35%,6,2020 Fall
KINE 223,SLAGEL K,3.809,81%,19%,7,2020 Fall
KINE 223,SLAGEL K,3.916,92%,8%,7,2017 Spring
KINE 223,SLAGEL K,4,100%,0%,7,2018 Spring
KINE 223,SLAGEL K,3.391,74%,9%,7,2020 Spring
KINE 120,ZABILSKI C,3.851,85%,15%,8,2017 Fall
KINE 120,VENABLE L,3.5,75%,12%,8,2017 Spring
KINE 120,KRAVITS D,3.851,85%,15%,8,2019 Spring
KINE 199,BREKKEN K,3.809,81%,19%,8,2017 Fall
KINE 199,BREKKEN K,3,60%,20%,8,2018 Fall
KINE 223,SLAGEL K,3.833,88%,8%,8,2017 Fall
KINE 223,SLAGEL K,3.826,87%,9%,8,2018 Fall
KINE 223,SLAGEL K,3.869,87%,13%,8,2019 Fall
KINE 223,SLAGEL K,3.347,57%,30%,8,2020 Fall
KINE 223,HANIK M,3.26,52%,22%,8,2020 Spring
KINE 120,BIN MOHD,3.8,85%,10%,9,2018 Spring
KINE 120,BIN MOHD,4,100%,0%,9,2019 Spring
KINE 223,POOLEY-DETWILER A,3.333,58%,17%,9,2017 Spring
KINE 223,POOLEY-DETWILER A,3.923,92%,8%,9,2018 Spring
KINE 223,SLAGEL K,3.8,80%,20%,9,2017 Summer
KINE 223,SLAGEL K,3.625,69%,25%,9,2018 Summer
KINE 223,SLAGEL K,3.944,94%,6%,9,2019 Summer
KINE 223,SLAGEL K,3.916,92%,8%,10,2017 Fall
KINE 223,SLAGEL K,3.388,56%,28%,10,2018 Fall
KINE 223,SLAGEL K,3.666,67%,33%,10,2019 Fall
KINE 223,SLAGEL K,3.59,68%,23%,10,2020 Fall
