course,prof,gpa,% of A,% of B,section_,semester
KINE 213,WRIGHT D,2.000,0%,57%,700,2017 Summer
KINE 214,LIU J,3.500,67%,17%,199,2017 Summer
KINE 214,LIU J,3.222,56%,33%,700,2017 Summer
KINE 223,ALVAREZ A,3.480,72%,12%,001,2017 Summer
KINE 223,WILLINGHAM K,3.722,78%,17%,002,2017 Summer
KINE 223,POOLEY-DETWILER A,3.789,79%,21%,003,2017 Summer
KINE 223,ISENHART M,3.400,53%,33%,004,2017 Summer
KINE 223,DIXON S,3.434,70%,13%,006,2017 Summer
KINE 223,SLAGEL K,3.800,80%,20%,009,2017 Summer
KINE 307,GABBARD C,2.384,0%,46%,199,2017 Summer
KINE 307,GABBARD C,2.615,0%,77%,700,2017 Summer
KINE 318,KNIFFIN D,2.739,26%,35%,200,2017 Summer
KINE 406,BUCHANAN J,3.083,17%,75%,100,2017 Summer
KINE 426,KIRKHAM E,3.555,67%,22%,101,2017 Summer
KINE 426,KIRKHAM E,3.333,40%,53%,102,2017 Summer
KINE 426,LAWLER J,3.090,27%,55%,201,2017 Summer
KINE 427,GREEN J,3.437,56%,31%,100,2017 Summer
KINE 433,FLUCKEY J,3.971,97%,3%,100,2017 Summer
KINE 439,MARTIN S,3.307,31%,69%,900,2017 Summer
KINE 484,GREEN J,4.000,100%,0%,301,2017 Summer
KINE 484,GREEN J,3.900,90%,10%,351,2017 Summer
KINE 489,THORNTON J,3.400,60%,20%,100,2017 Summer
KINE 628,GREENWOOD M,3.520,52%,48%,101,2017 Summer
SPMT 217,HUDSON S,3.458,50%,46%,199,2017 Summer
SPMT 217,HUDSON S,3.615,62%,38%,700,2017 Summer
SPMT 217,HUDSON S,3.388,67%,22%,701,2017 Summer
SPMT 220,KEIPER P,3.666,67%,33%,100,2017 Summer
SPMT 304,GARNER J,3.468,69%,22%,700,2017 Summer
SPMT 319,AHN N,3.021,46%,28%,299,2017 Summer
SPMT 319,AHN N,3.384,52%,40%,700,2017 Summer
SPMT 336,WEEMS A,2.461,12%,31%,199,2017 Summer
SPMT 336,WEEMS A,2.380,0%,48%,700,2017 Summer
SPMT 336,WEEMS A,2.857,14%,57%,701,2017 Summer
SPMT 337,HAYDUK T,3.800,89%,8%,199,2017 Summer
SPMT 337,BATISTA P,4.000,100%,0%,250,2017 Summer
SPMT 337,HAYDUK T,3.760,81%,16%,700,2017 Summer
SPMT 337,HAYDUK T,3.854,85%,15%,701,2017 Summer
SPMT 340,MILSTEIN S,3.545,73%,18%,199,2017 Summer
SPMT 340,BATISTA P,4.000,100%,0%,250,2017 Summer
SPMT 340,MILSTEIN S,3.750,75%,25%,700,2017 Summer
SPMT 340,MILSTEIN S,3.666,67%,33%,701,2017 Summer
SPMT 402,HUDSON S,3.083,29%,50%,100,2017 Summer
SPMT 421,PITTMAN A,2.666,6%,72%,200,2017 Summer
SPMT 422,MILSTEIN S,3.421,63%,16%,100,2017 Summer
SPMT 423,WALTEMYER D,2.888,28%,44%,900,2017 Summer
SPMT 481,HUDSON S,2.975,38%,42%,198,2017 Summer
SPMT 481,WALTEMYER D,3.422,71%,11%,299,2017 Summer
SPMT 481,KEIPER P,2.272,36%,9%,399,2017 Summer
SPMT 481,HUDSON S,3.181,36%,45%,700,2017 Summer
SPMT 481,BATISTA P,3.535,79%,4%,701,2017 Summer
SPMT 482,JONES K,2.944,28%,50%,900,2017 Summer
SPMT 482,JONES K,3.300,50%,30%,901,2017 Summer
SPMT 484,HUDSON S,3.625,62%,38%,301,2017 Summer
SPMT 484,HUDSON S,4.000,100%,0%,351,2017 Summer
SPMT 601,KEIPER P,3.428,43%,57%,700,2017 Summer
SPMT 611,SALAGA S,3.250,42%,42%,700,2017 Summer
SPMT 612,DIXON M,3.850,85%,15%,700,2017 Summer
SPMT 623,HUDSON S,3.888,89%,11%,399,2017 Summer
SPMT 623,HUDSON S,3.818,82%,18%,701,2017 Summer
SPMT 630,SALAGA S,3.166,17%,83%,399,2017 Summer
SPMT 630,SALAGA S,3.111,44%,22%,700,2017 Summer
SPMT 655,BATISTA P,3.538,62%,31%,700,2017 Summer
SPMT 682,KEIPER P,4.000,100%,0%,701,2017 Summer
SPMT 682,WALTEMYER D,3.000,25%,62%,702,2017 Summer
SPMT 685,BATISTA P,4.000,100%,0%,150,2017 Summer
EDCI 602,WALTERS L,3.666,67%,33%,700,2017 Summer
EDCI 602,CASSELL E,4.000,100%,0%,701,2017 Summer
EDCI 602,MORO F,4.000,100%,0%,702,2017 Summer
EDCI 602,CASSELL E,3.821,93%,4%,703,2017 Summer
EDCI 603,JAMES M,4.000,100%,0%,700,2017 Summer
EDCI 604,ASHLEY C,3.900,90%,10%,700,2017 Summer
EDCI 605,VIRURU R,3.750,75%,25%,700,2017 Summer
EDCI 611,HAMMER J,3.967,97%,3%,100,2017 Summer
EDCI 620,CAPRARO M,3.736,84%,5%,700,2017 Summer
EDCI 631,CALDWELL H,3.812,81%,19%,700,2017 Summer
EDCI 632,STILLISANO J,3.363,64%,27%,700,2017 Summer
EDCI 633,WALTERS L,3.437,62%,25%,700,2017 Summer
EDCI 633,JOSHI R,4.000,100%,0%,701,2017 Summer
EDCI 634,LAUB J,4.000,100%,0%,700,2017 Summer
EDCI 634,SLATTERY G,3.964,96%,4%,701,2017 Summer
EDCI 638,RACKLEY R,4.000,100%,0%,700,2017 Summer
